day,2019,Length
0,2019/12/31,11.037
1,2019/1/1,11.042
2,2019/1/2,11.046
3,2019/1/3,11.051
4,2019/1/4,11.056
5,2019/1/5,11.062
6,2019/1/6,11.068
7,2019/1/7,11.074
8,2019/1/8,11.08
9,2019/1/9,11.087
10,2019/1/10,11.094
11,2019/1/11,11.102
12,2019/1/12,11.11
13,2019/1/13,11.119
14,2019/1/14,11.127
15,2019/1/15,11.136
16,2019/1/16,11.146
17,2019/1/17,11.155
18,2019/1/18,11.165
19,2019/1/19,11.175
20,2019/1/20,11.186
21,2019/1/21,11.197
22,2019/1/22,11.208
23,2019/1/23,11.219
24,2019/1/24,11.231
25,2019/1/25,11.243
26,2019/1/26,11.255
27,2019/1/27,11.267
28,2019/1/28,11.28
29,2019/1/29,11.293
30,2019/1/30,11.306
31,2019/1/31,11.319
32,2019/2/1,11.332
33,2019/2/2,11.346
34,2019/2/3,11.36
35,2019/2/4,11.374
36,2019/2/5,11.388
37,2019/2/6,11.403
38,2019/2/7,11.417
39,2019/2/8,11.432
40,2019/2/9,11.447
41,2019/2/10,11.462
42,2019/2/11,11.477
43,2019/2/12,11.493
44,2019/2/13,11.508
45,2019/2/14,11.524
46,2019/2/15,11.539
47,2019/2/16,11.555
48,2019/2/17,11.571
49,2019/2/18,11.588
50,2019/2/19,11.604
51,2019/2/20,11.62
52,2019/2/21,11.636
53,2019/2/22,11.653
54,2019/2/23,11.669
55,2019/2/24,11.686
56,2019/2/25,11.703
57,2019/2/26,11.72
58,2019/2/27,11.737
59,2019/2/28,11.754
60,2019/3/1,11.771
61,2019/3/2,11.788
62,2019/3/3,11.805
63,2019/3/4,11.822
64,2019/3/5,11.839
65,2019/3/6,11.857
66,2019/3/7,11.874
67,2019/3/8,11.891
68,2019/3/9,11.909
69,2019/3/10,11.926
70,2019/3/11,11.944
71,2019/3/12,11.961
72,2019/3/13,11.979
73,2019/3/14,11.996
74,2019/3/15,12.014
75,2019/3/16,12.031
76,2019/3/17,12.049
77,2019/3/18,12.066
78,2019/3/19,12.084
79,2019/3/20,12.102
80,2019/3/21,12.119
81,2019/3/22,12.137
82,2019/3/23,12.154
83,2019/3/24,12.172
84,2019/3/25,12.19
85,2019/3/26,12.207
86,2019/3/27,12.225
87,2019/3/28,12.242
88,2019/3/29,12.26
89,2019/3/30,12.277
90,2019/3/31,12.295
91,2019/4/1,12.312
92,2019/4/2,12.329
93,2019/4/3,12.347
94,2019/4/4,12.364
95,2019/4/5,12.382
96,2019/4/6,12.399
97,2019/4/7,12.416
98,2019/4/8,12.433
99,2019/4/9,12.45
100,2019/4/10,12.467
101,2019/4/11,12.484
102,2019/4/12,12.501
103,2019/4/13,12.518
104,2019/4/14,12.535
105,2019/4/15,12.551
106,2019/4/16,12.568
107,2019/4/17,12.584
108,2019/4/18,12.601
109,2019/4/19,12.617
110,2019/4/20,12.634
111,2019/4/21,12.65
112,2019/4/22,12.666
113,2019/4/23,12.682
114,2019/4/24,12.698
115,2019/4/25,12.713
116,2019/4/26,12.729
117,2019/4/27,12.744
118,2019/4/28,12.76
119,2019/4/29,12.775
120,2019/4/30,12.79
121,2019/5/1,12.805
122,2019/5/2,12.82
123,2019/5/3,12.834
124,2019/5/4,12.849
125,2019/5/5,12.863
126,2019/5/6,12.877
127,2019/5/7,12.891
128,2019/5/8,12.905
129,2019/5/9,12.919
130,2019/5/10,12.932
